DISEASE,MMWR_YEAR,MMWR_WEEK,TOTAL_CASES
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,48,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,48,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,48,185
Hansen disease,2014,48,81
Hantavirus pulmonary syndrome,2014,48,21
"Hemolytic uremic syndrome, postdiarrheal",2014,48,329
"Hepatitis B, virus infection perinatal",2014,48,48
"Influenza-associated pediatric mortality,",2014,48,160
Leptospirosis,2014,48,NA
Listeriosis,2014,48,735
Measles,2014,48,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,48,142
"Meningococcal disease, invasive, serogroup B",2014,48,99
"Meningococcal disease, invasive, other serogroup",2014,48,17
"Meningococcal disease, invasive, unknown serogroup",2014,48,298
Novel influenza A virus infections***,2014,48,21
Plague,2014,48,4
"Poliomyelitis, paralytic",2014,48,1
"Polio virus Infection, nonparalytic",2014,48,NA
Psittacosis,2014,48,6
"Q fever, total",2014,48,170
"Q fever, acute",2014,48,137
"Q fever, chronic",2014,48,33
"Rabies, human",2014,48,2
Rubella,2014,48,9
"Rubella, congenital syndrome",2014,48,1
SARS-CoV,2014,48,NA
Smallpox,2014,48,NA
Streptococcal toxic-shock syndrome,2014,48,224
"Syphilis, congenital (age <1 yr)",2014,48,348
Tetanus,2014,48,26
Toxic-shock syndrome (staphylococcal),2014,48,71
Trichinellosis,2014,48,22
Tularemia,2014,48,203
Typhoid fever,2014,48,338
Vancomycin-intermediate Staphylococcus aureus,2014,48,248
Vancomycin-resistant Staphylococcus aureus,2014,48,NA
Vibriosis (noncholera Vibrio species infections),2014,48,1299
Viral hemorrhagic fever,2014,48,NA
Yellow fever,2014,48,NA
Anthrax,2014,49,NA
"Arboviral diseases, California serogroup virus disease,",2014,49,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,49,8
"Arboviral diseases, Powassan virus disease,",2014,49,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,49,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,49,NA
"Botulism, total",2014,49,152
"Botulism, foodborne",2014,49,4
"Botulism, infant",2014,49,136
"Botulism, other (wound and unspecified)",2014,49,12
Brucellosis,2014,49,99
Chancroid,2014,49,10
Cholera,2014,49,14
Cyclosporiasis,2014,49,784
Diphtheria,2014,49,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,49,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,49,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,49,185
Hansen disease,2014,49,81
Hantavirus pulmonary syndrome,2014,49,21
"Hemolytic uremic syndrome, postdiarrheal",2014,49,329
"Hepatitis B, virus infection perinatal",2014,49,48
"Influenza-associated pediatric mortality,",2014,49,160
Leptospirosis,2014,49,NA
Listeriosis,2014,49,735
Measles,2014,49,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,49,142
"Meningococcal disease, invasive, serogroup B",2014,49,99
"Meningococcal disease, invasive, other serogroup",2014,49,17
"Meningococcal disease, invasive, unknown serogroup",2014,49,298
Novel influenza A virus infections***,2014,49,21
Plague,2014,49,4
"Poliomyelitis, paralytic",2014,49,1
"Polio virus Infection, nonparalytic",2014,49,NA
Psittacosis,2014,49,6
"Q fever, total",2014,49,170
"Q fever, acute",2014,49,137
"Q fever, chronic",2014,49,33
"Rabies, human",2014,49,2
Rubella,2014,49,9
"Rubella, congenital syndrome",2014,49,1
SARS-CoV,2014,49,NA
Smallpox,2014,49,NA
Streptococcal toxic-shock syndrome,2014,49,224
"Syphilis, congenital (age <1 yr)",2014,49,348
Tetanus,2014,49,26
Toxic-shock syndrome (staphylococcal),2014,49,71
Trichinellosis,2014,49,22
Tularemia,2014,49,203
Typhoid fever,2014,49,338
Vancomycin-intermediate Staphylococcus aureus,2014,49,248
Vancomycin-resistant Staphylococcus aureus,2014,49,NA
Vibriosis (noncholera Vibrio species infections),2014,49,1299
Viral hemorrhagic fever,2014,49,NA
Yellow fever,2014,49,NA
Anthrax,2014,50,NA
"Arboviral diseases, California serogroup virus disease,",2014,50,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,50,8
"Arboviral diseases, Powassan virus disease,",2014,50,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,50,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,50,NA
"Botulism, total",2014,50,152
"Botulism, foodborne",2014,50,4
"Botulism, infant",2014,50,136
"Botulism, other (wound and unspecified)",2014,50,12
Brucellosis,2014,50,99
Chancroid,2014,50,10
Cholera,2014,50,14
Cyclosporiasis,2014,50,784
Diphtheria,2014,50,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,50,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,50,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,50,185
Hansen disease,2014,50,81
Hantavirus pulmonary syndrome,2014,50,21
"Hemolytic uremic syndrome, postdiarrheal",2014,50,329
"Hepatitis B, virus infection perinatal",2014,50,48
"Influenza-associated pediatric mortality,",2014,50,160
Leptospirosis,2014,50,NA
Listeriosis,2014,50,735
Measles,2014,50,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,50,142
"Meningococcal disease, invasive, serogroup B",2014,50,99
"Meningococcal disease, invasive, other serogroup",2014,50,17
"Meningococcal disease, invasive, unknown serogroup",2014,50,298
Novel influenza A virus infections***,2014,50,21
Plague,2014,50,4
"Poliomyelitis, paralytic",2014,50,1
"Polio virus Infection, nonparalytic",2014,50,NA
Psittacosis,2014,50,6
"Q fever, total",2014,50,170
"Q fever, acute",2014,50,137
"Q fever, chronic",2014,50,33
"Rabies, human",2014,50,2
Rubella,2014,50,9
"Rubella, congenital syndrome",2014,50,1
SARS-CoV,2014,50,NA
Smallpox,2014,50,NA
Streptococcal toxic-shock syndrome,2014,50,224
"Syphilis, congenital (age <1 yr)",2014,50,348
Tetanus,2014,50,26
Toxic-shock syndrome (staphylococcal),2014,50,71
Trichinellosis,2014,50,22
Tularemia,2014,50,203
Typhoid fever,2014,50,338
Vancomycin-intermediate Staphylococcus aureus,2014,50,248
Vancomycin-resistant Staphylococcus aureus,2014,50,NA
Vibriosis (noncholera Vibrio species infections),2014,50,1299
Viral hemorrhagic fever,2014,50,NA
Yellow fever,2014,50,NA
Anthrax,2014,51,NA
"Arboviral diseases, California serogroup virus disease,",2014,51,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,51,8
"Arboviral diseases, Powassan virus disease,",2014,51,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,51,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,51,NA
"Botulism, total",2014,51,152
"Botulism, foodborne",2014,51,4
"Botulism, infant",2014,51,136
"Botulism, other (wound and unspecified)",2014,51,12
Brucellosis,2014,51,99
Chancroid,2014,51,10
Cholera,2014,51,14
Cyclosporiasis,2014,51,784
Diphtheria,2014,51,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,51,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,51,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,51,185
Hansen disease,2014,51,81
Hantavirus pulmonary syndrome,2014,51,21
"Hemolytic uremic syndrome, postdiarrheal",2014,51,329
"Hepatitis B, virus infection perinatal",2014,51,48
"Influenza-associated pediatric mortality,",2014,51,160
Leptospirosis,2014,51,NA
Listeriosis,2014,51,735
Measles,2014,51,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,51,142
"Meningococcal disease, invasive, serogroup B",2014,51,99
"Meningococcal disease, invasive, other serogroup",2014,51,17
"Meningococcal disease, invasive, unknown serogroup",2014,51,298
Novel influenza A virus infections***,2014,51,21
Plague,2014,51,4
"Poliomyelitis, paralytic",2014,51,1
"Polio virus Infection, nonparalytic",2014,51,NA
Psittacosis,2014,51,6
"Q fever, total",2014,51,170
"Q fever, acute",2014,51,137
"Q fever, chronic",2014,51,33
"Rabies, human",2014,51,2
Rubella,2014,51,9
"Rubella, congenital syndrome",2014,51,1
SARS-CoV,2014,51,NA
Smallpox,2014,51,NA
Streptococcal toxic-shock syndrome,2014,51,224
"Syphilis, congenital (age <1 yr)",2014,51,348
Tetanus,2014,51,26
Toxic-shock syndrome (staphylococcal),2014,51,71
Trichinellosis,2014,51,22
Tularemia,2014,51,203
Typhoid fever,2014,51,338
Vancomycin-intermediate Staphylococcus aureus,2014,51,248
Vancomycin-resistant Staphylococcus aureus,2014,51,NA
Vibriosis (noncholera Vibrio species infections),2014,51,1299
Viral hemorrhagic fever,2014,51,NA
Yellow fever,2014,51,NA
Anthrax,2014,52,NA
"Arboviral diseases, California serogroup virus disease,",2014,52,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,52,8
"Arboviral diseases, Powassan virus disease,",2014,52,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,52,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,52,NA
"Botulism, total",2014,52,152
"Botulism, foodborne",2014,52,4
"Botulism, infant",2014,52,136
"Botulism, other (wound and unspecified)",2014,52,12
Brucellosis,2014,52,99
Chancroid,2014,52,10
Cholera,2014,52,14
Cyclosporiasis,2014,52,784
Diphtheria,2014,52,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,52,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,52,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,52,185
Hansen disease,2014,52,81
Hantavirus pulmonary syndrome,2014,52,21
"Hemolytic uremic syndrome, postdiarrheal",2014,52,329
"Hepatitis B, virus infection perinatal",2014,52,48
"Influenza-associated pediatric mortality,",2014,52,160
Leptospirosis,2014,52,NA
Listeriosis,2014,52,735
Measles,2014,52,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,52,142
"Meningococcal disease, invasive, serogroup B",2014,52,99
"Meningococcal disease, invasive, other serogroup",2014,52,17
"Meningococcal disease, invasive, unknown serogroup",2014,52,298
Novel influenza A virus infections***,2014,52,21
Plague,2014,52,4
"Poliomyelitis, paralytic",2014,52,1
"Polio virus Infection, nonparalytic",2014,52,NA
Psittacosis,2014,52,6
"Q fever, total",2014,52,170
"Q fever, acute",2014,52,137
"Q fever, chronic",2014,52,33
"Rabies, human",2014,52,2
Rubella,2014,52,9
"Rubella, congenital syndrome",2014,52,1
SARS-CoV,2014,52,NA
Smallpox,2014,52,NA
Streptococcal toxic-shock syndrome,2014,52,224
"Syphilis, congenital (age <1 yr)",2014,52,348
Tetanus,2014,52,26
Toxic-shock syndrome (staphylococcal),2014,52,71
Trichinellosis,2014,52,22
Tularemia,2014,52,203
Typhoid fever,2014,52,338
Vancomycin-intermediate Staphylococcus aureus,2014,52,248
Vancomycin-resistant Staphylococcus aureus,2014,52,NA
Vibriosis (noncholera Vibrio species infections),2014,52,1299
Viral hemorrhagic fever,2014,52,NA
Yellow fever,2014,52,NA
Anthrax,2014,53,NA
"Arboviral diseases, California serogroup virus disease,",2014,53,95
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,53,8
"Arboviral diseases, Powassan virus disease,",2014,53,12
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,53,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,53,NA
"Botulism, total",2014,53,152
"Botulism, foodborne",2014,53,4
"Botulism, infant",2014,53,136
"Botulism, other (wound and unspecified)",2014,53,12
Brucellosis,2014,53,99
Chancroid,2014,53,10
Cholera,2014,53,14
Cyclosporiasis,2014,53,784
Diphtheria,2014,53,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,53,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,53,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,53,185
Hansen disease,2014,53,81
Hantavirus pulmonary syndrome,2014,53,21
"Hemolytic uremic syndrome, postdiarrheal",2014,53,329
"Hepatitis B, virus infection perinatal",2014,53,48
"Influenza-associated pediatric mortality,",2014,53,160
Leptospirosis,2014,53,NA
Listeriosis,2014,53,735
Measles,2014,53,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,53,142
"Meningococcal disease, invasive, serogroup B",2014,53,99
"Meningococcal disease, invasive, other serogroup",2014,53,17
"Meningococcal disease, invasive, unknown serogroup",2014,53,298
Novel influenza A virus infections***,2014,53,21
Plague,2014,53,4
"Poliomyelitis, paralytic",2014,53,1
"Polio virus Infection, nonparalytic",2014,53,NA
Psittacosis,2014,53,6
"Q fever, total",2014,53,170
"Q fever, acute",2014,53,137
"Q fever, chronic",2014,53,33
"Rabies, human",2014,53,2
Rubella,2014,53,9
"Rubella, congenital syndrome",2014,53,1
SARS-CoV,2014,53,NA
Smallpox,2014,53,NA
Streptococcal toxic-shock syndrome,2014,53,224
"Syphilis, congenital (age <1 yr)",2014,53,348
Tetanus,2014,53,26
Toxic-shock syndrome (staphylococcal),2014,53,71
Trichinellosis,2014,53,22
Tularemia,2014,53,203
Typhoid fever,2014,53,338
Vancomycin-intermediate Staphylococcus aureus,2014,53,248
Vancomycin-resistant Staphylococcus aureus,2014,53,NA
Vibriosis (noncholera Vibrio species infections),2014,53,1299
Viral hemorrhagic fever,2014,53,NA
Yellow fever,2014,53,NA
